#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
scaffolds.fasta	NODE_10_length_158079_cov_39.793098	3270	4103	-	cgsG	1-834/834	===============	0/0	100.00	97.12	vfdb	WP_001189322	(cgsG) curli production assembly/transport protein CsgG [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
scaffolds.fasta	NODE_10_length_158079_cov_39.793098	4130	4546	-	cgsF	1-417/417	===============	0/0	100.00	98.08	vfdb	WP_001264082	(cgsF) curli production assembly/transport protein CsgF [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
scaffolds.fasta	NODE_10_length_158079_cov_39.793098	4571	4960	-	cgsE	1-390/390	===============	0/0	100.00	98.72	vfdb	WP_000833288	(cgsE) curli production assembly/transport protein CsgE [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
scaffolds.fasta	NODE_10_length_158079_cov_39.793098	4965	5615	-	cgsD	1-651/651	===============	0/0	100.00	99.08	vfdb	WP_000481500	(cgsD) transcriptional regulator CsgD [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
scaffolds.fasta	NODE_10_length_158079_cov_39.793098	6370	6825	+	csgB	1-456/456	===============	0/0	100.00	99.78	vfdb	WP_000791650	(csgB) curlin minor subunit CsgB [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
scaffolds.fasta	NODE_10_length_158079_cov_39.793098	6866	7321	+	csgA	1-459/459	========/======	1/3	99.35	91.72	vfdb	WP_000771429	(csgA) curlin major subunit CsgA [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
scaffolds.fasta	NODE_10_length_158079_cov_39.793098	7380	7712	+	csgC	1-333/333	===============	0/0	100.00	98.80	vfdb	WP_000992818	(csgC) curli assembly protein CsgC [Curli fibers (VF1138) - Adherence (VFC0001)] [Escherichia coli O25b:H4-ST131]	
scaffolds.fasta	NODE_10_length_158079_cov_39.793098	33860	34264	+	flgC	1-405/405	===============	0/0	100.00	82.72	vfdb	WP_013097138	(flgC) flagellar basal body rod protein FlgC [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
scaffolds.fasta	NODE_10_length_158079_cov_39.793098	37148	37930	+	flgG	1-783/783	===============	0/0	100.00	84.93	vfdb	WP_008500810	(flgG) flagellar basal-body rod protein FlgG [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
scaffolds.fasta	NODE_10_length_158079_cov_39.793098	37983	38681	+	flgH	1-699/699	========/======	2/4	99.71	81.17	vfdb	WP_003857987	(flgH) flagellar basal body L-ring protein FlgH [Flagella (VF1400) - Motility (VFC0204)] [Enterobacter cloacae strain M12X01451]	
