locus_tag	ftype	length_bp	gene	EC_number	COG	product
IDBKNKLP_00001	rRNA	111				5S ribosomal RNA
IDBKNKLP_00002	CDS	1299	kgtP			Alpha-ketoglutarate permease
IDBKNKLP_00003	CDS	273				hypothetical protein
IDBKNKLP_00004	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
IDBKNKLP_00005	CDS	2661	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
IDBKNKLP_00006	CDS	699				hypothetical protein
IDBKNKLP_00007	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
IDBKNKLP_00008	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
IDBKNKLP_00009	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
IDBKNKLP_00010	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
IDBKNKLP_00011	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
IDBKNKLP_00012	CDS	882	cmpR			HTH-type transcriptional activator CmpR
IDBKNKLP_00013	CDS	1335	srmB_1	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
IDBKNKLP_00014	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
IDBKNKLP_00015	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
IDBKNKLP_00016	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
IDBKNKLP_00017	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
IDBKNKLP_00018	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
IDBKNKLP_00019	CDS	480	rseC		COG3086	Protein RseC
IDBKNKLP_00020	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
IDBKNKLP_00021	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
IDBKNKLP_00022	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
IDBKNKLP_00023	CDS	906	era_1		COG1159	GTPase Era
IDBKNKLP_00024	CDS	729	recO		COG1381	DNA repair protein RecO
IDBKNKLP_00025	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
IDBKNKLP_00026	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
IDBKNKLP_00027	CDS	261	yfhL		COG1145	Ferredoxin YfhL
IDBKNKLP_00028	CDS	849	murR_1		COG1737	HTH-type transcriptional regulator MurR
IDBKNKLP_00029	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
IDBKNKLP_00030	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
IDBKNKLP_00031	CDS	378			COG1662	IS1 family transposase IS1R
IDBKNKLP_00032	CDS	276			COG1662	IS1 family transposase IS1A
IDBKNKLP_00033	CDS	1533	mltF	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
IDBKNKLP_00034	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
IDBKNKLP_00035	CDS	1383	qseE	2.7.13.3		Sensor histidine kinase QseE
IDBKNKLP_00036	CDS	714	qseG			Quorum-sensing regulator protein G
IDBKNKLP_00037	CDS	1335	qseF		COG2204	Transcriptional regulatory protein QseF
IDBKNKLP_00038	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
IDBKNKLP_00039	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
IDBKNKLP_00040	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
IDBKNKLP_00041	CDS	1194	mlc_1		COG1940	Protein mlc
IDBKNKLP_00042	CDS	3282	lapB_1			Lipopolysaccharide assembly protein B
IDBKNKLP_00043	CDS	984	yphF		COG1879	ABC transporter periplasmic-binding protein YphF
IDBKNKLP_00044	CDS	1512	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
IDBKNKLP_00045	CDS	999	rbsC_1		COG1172	Ribose import permease protein RbsC
IDBKNKLP_00046	CDS	1062	tdh_1	1.1.1.103		L-threonine 3-dehydrogenase
IDBKNKLP_00047	CDS	873	yphB		COG2017	putative protein YphB
IDBKNKLP_00048	CDS	423	yphA		COG2259	Inner membrane protein YphA
IDBKNKLP_00049	CDS	1203	hcaD	1.18.1.3	COG0446	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component
IDBKNKLP_00050	CDS	813	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
IDBKNKLP_00051	CDS	321	hcaC		COG2146	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
IDBKNKLP_00052	CDS	519	hcaF	1.14.12.19	COG5517	3-phenylpropionate/cinnamic acid dioxygenase subunit beta
IDBKNKLP_00053	CDS	1362	hcaE	1.14.12.19	COG4638	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha
IDBKNKLP_00054	CDS	891	hcaR_1			Hca operon transcriptional activator HcaR
IDBKNKLP_00055	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
