locus_tag	ftype	length_bp	gene	EC_number	COG	product
APGBGNDD_00001	CDS	1197	tuf			Elongation factor Tu
APGBGNDD_00002	CDS	870	gla		COG0580	Glycerol facilitator-aquaporin gla
APGBGNDD_00003	CDS	522				hypothetical protein
APGBGNDD_00004	CDS	609				hypothetical protein
APGBGNDD_00005	CDS	510				hypothetical protein
APGBGNDD_00006	CDS	255				hypothetical protein
APGBGNDD_00007	CDS	534				IS630 family transposase IS630-Spn1
APGBGNDD_00008	CDS	1719	pgcA	5.4.2.2		Phosphoglucomutase
APGBGNDD_00009	CDS	348				hypothetical protein
APGBGNDD_00010	CDS	837	artP_1		COG0834	Arginine-binding extracellular protein ArtP
APGBGNDD_00011	CDS	630	glnQ_1		COG1126	Glutamine transport ATP-binding protein GlnQ
APGBGNDD_00012	CDS	642	yecS_1		COG0765	L-cystine transport system permease protein YecS
APGBGNDD_00013	CDS	1230				hypothetical protein
APGBGNDD_00014	CDS	1167			COG0628	Putative transport protein
APGBGNDD_00015	CDS	1014	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
APGBGNDD_00016	CDS	420	atpC		COG0355	ATP synthase epsilon chain
APGBGNDD_00017	CDS	1407	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
APGBGNDD_00018	CDS	879	atpG		COG0224	ATP synthase gamma chain
APGBGNDD_00019	CDS	1506	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
APGBGNDD_00020	CDS	537	atpH		COG0712	ATP synthase subunit delta
APGBGNDD_00021	CDS	495	atpF		COG0711	ATP synthase subunit b
APGBGNDD_00022	CDS	717	atpB		COG0356	ATP synthase subunit a
APGBGNDD_00023	CDS	201	atpE		COG0636	ATP synthase subunit c
APGBGNDD_00024	CDS	1086				hypothetical protein
APGBGNDD_00025	CDS	429				hypothetical protein
APGBGNDD_00026	CDS	483	greA			Transcription elongation factor GreA
APGBGNDD_00027	CDS	1656	mltG	4.2.2.-		Endolytic murein transglycosylase
APGBGNDD_00028	CDS	495				hypothetical protein
APGBGNDD_00029	CDS	465				hypothetical protein
APGBGNDD_00030	CDS	1335	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
APGBGNDD_00031	CDS	618				hypothetical protein
APGBGNDD_00032	CDS	3099				hypothetical protein
APGBGNDD_00033	CDS	1167	patB	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
APGBGNDD_00034	CDS	1095	metI	2.5.1.-	COG0626	Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase
APGBGNDD_00035	CDS	723	lmrA	7.6.2.2	COG1132	Multidrug resistance ABC transporter ATP-binding and permease protein
APGBGNDD_00036	CDS	936	bmrA	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
APGBGNDD_00037	CDS	1896	sarA_1		COG4166	Oligopeptide-binding protein SarA
APGBGNDD_00038	CDS	1623	murJ		COG2244	Lipid II flippase MurJ
APGBGNDD_00039	CDS	1446	murE	6.3.2.7	COG0769	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
APGBGNDD_00040	CDS	114				hypothetical protein
APGBGNDD_00041	CDS	597				hypothetical protein
APGBGNDD_00042	CDS	513				hypothetical protein
APGBGNDD_00043	CDS	936	ppaC	3.6.1.1	COG1227	putative manganese-dependent inorganic pyrophosphatase
APGBGNDD_00044	CDS	300				hypothetical protein
APGBGNDD_00045	CDS	750				hypothetical protein
APGBGNDD_00046	CDS	360	yugI		COG1098	General stress protein 13
APGBGNDD_00047	CDS	1401				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
APGBGNDD_00048	CDS	240	rpsR		COG0238	30S ribosomal protein S18
APGBGNDD_00049	CDS	471	ssb_1		COG0629	Single-stranded DNA-binding protein
APGBGNDD_00050	CDS	291	rpsF		COG0360	30S ribosomal protein S6
APGBGNDD_00051	CDS	1344	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
APGBGNDD_00052	CDS	354				hypothetical protein
APGBGNDD_00053	CDS	1188	aspB	2.6.1.14	COG0436	Asparagine--oxo-acid transaminase
APGBGNDD_00054	CDS	432				hypothetical protein
APGBGNDD_00055	CDS	549				hypothetical protein
APGBGNDD_00056	CDS	729	yaaA		COG3022	Peroxide stress resistance protein YaaA
APGBGNDD_00057	CDS	165				hypothetical protein
APGBGNDD_00058	CDS	1596				hypothetical protein
APGBGNDD_00059	CDS	411	def_1	3.5.1.88	COG0242	Peptide deformylase
APGBGNDD_00060	CDS	792	yghU	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YghU
APGBGNDD_00061	CDS	2697		7.2.2.10		Calcium-transporting ATPase 1
APGBGNDD_00062	CDS	1185				hypothetical protein
APGBGNDD_00063	CDS	1872	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
APGBGNDD_00064	CDS	1185	cca	2.7.7.72		CCA-adding enzyme
APGBGNDD_00065	CDS	768	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
